documentId,paragraphText,sorted_compounds
US08063234B2,The title compound was prepared starting from 500 mg (1.29 mmol) of the compound from Example 231 in analogy to the synthesis of the compound from Example 249. A difference was that the reaction solution was washed with saturated aqueous sodium bicarbonate solution before purification. 311 mg (57% of theory) of the target compound were obtained.,title compound | compound | compound | sodium bicarbonate
US08304417B2,"Potassium tert-butoxide (6.15 g) was added to a solution of 4-hydroxytetrahydropyran (2.94 g) in THF (40 ml) and the mixture was stirred at ambient temperature for 15 minutes. The resultant mixture was added to a stirred solution of 5,7-difluoro-3,4-dihydroquinazolin-4-one (5 g) in THF (60 ml) that was being heated to reflux. A further portion of THF (20 ml) was added and the reaction mixture was heated to reflux for 30 minutes. A second portion of potassium tert-butoxide (6.15 g) was added and the reaction mixture was heated to reflux for 40 minutes. A third portion of potassium tert-butoxide (1.52 g) was added and the reaction mixture was heated to reflux for 20 minutes. The reaction mixture was allowed to cool to ambient temperature. Water (50 ml) was added and the bulk of the organic solvent was evaporated. The residue was acidified to pH<2 by the dropwise addition of 2M aqueous hydrochloric acid. The resultant slurry was stirred for 15 minutes. The mixture was filtered and the isolated solid was washed with water (20 ml) and dried overnight in vacuo at 40° C. There was thus obtained 7-fluoro-5-tetrahydropyran-4-yloxy-3,4-dihydroquinazolin-4-one (5.96 g; 96% HPLC purity using Method A, retention time 3.34 minutes); NMR Spectrum: (DMSOd6) 1.6-1.75 (m, 2H), 1.9-2.0 (m, 2H), 3.5-3.6 (m, 2H), 3.85-3.95 (m, 2H), 4.8 (m, 1H), 6.9 (m, 1H), 7.05 (m, 1H), 8.0 (s, 1H).","Potassium tert-butoxide | 4-hydroxytetrahydropyran | THF | resultant mixture | 5,7-difluoro-3,4-dihydroquinazolin-4-one | THF | THF | potassium tert-butoxide | potassium tert-butoxide | Water | hydrochloric acid | water | 7-fluoro-5-tetrahydropyran-4-yloxy-3,4-dihydroquinazolin-4-one"
US05061726,"A mixture of 4-bromo-3-fluorobenzylidene diacetate (15 g), ethanol (41 ml), water (41 ml) and concentrated sulphuric acid (4 ml) was heated to reflux for 3 hours. After cooling, ether (300 ml) was added and the aqueous layer separated. The organic phase was washed with saturated sodium carbonate and brine before drying over anhydrous magnesium sulphate and evaporation in vacuo. 4-Bromo-3-fluorobenzaldehyde was obtained as a solid (7.3 g).",4-bromo-3-fluorobenzylidene diacetate | ethanol | water | sulphuric acid | ether | sodium carbonate | brine | magnesium sulphate | 4-Bromo-3-fluorobenzaldehyde | solid
US07008636B2,"A flamed dried round bottom flask was charged with 7-phenylheptyl amine (354 mg, 2.78 mmol) and 20 mL anhydrous CH2Cl2. To this solution was added 3,5-bis-(3,5-dimethylphenyl)-4-methoxymethoxybenzoic acid (780 mg, 1.85 mmol), triethyl amine (563 mg, 5.56 mmol, 726 μL), anhydrous 1-hydroxybenzotriazole (275 mg, 2.04 mmol), and DCC (459 mg, 2.22 mmol), all at room temperature. The reaction mixture was stirred at room temperature for one-half hour. Then the reaction was worked up by adding water then extracting with EtOAc (3×). The combined organic extracts were dried over Na2SO4 and the solvent removed in vacuo to give a semisolid to which CH2Cl2 was added. This suspension was subjected to column chromatography (15% EtOAc: 85% Hexanes) to give 600 mg, 54.5% of the amide as a colorless oil. 1H NMR (CDCl3) δ 1.34 (bs, 6H); 1.57 (m, 4H); 2.36 (s, 12H); 2.572 (t, J=8.18 Hz, 2H); 2.681 (s, 3H); 3.414 (quartet, J=8.18 Hz, 2H); 4.39 (s, 2H); 6.04 (t, J=5.73 Hz, 1H); 6.97 (s, 2H); 7.12–7.27 (m, 9H); 7.67 (s, 2H).","7-phenylheptyl amine | CH2Cl2 | 3,5-bis-(3,5-dimethylphenyl)-4-methoxymethoxybenzoic acid | triethyl amine | 1-hydroxybenzotriazole | DCC | water | EtOAc | Na2SO4 | CH2Cl2 | EtOAc | Hexanes | amide"
US20070003539A1,"To 120D (0.11 g, 0.22 mmol) in DMF (10 mL) was added sodium azide (0.049 g, 0.75 mmol). The reaction was stirred for 24 h at 60° C. After cooling, the crude reaction mixture was diluted in ethyl acetate and washed with water (3×) and then dried over sodium sulfate. The solvent was removed and the residue was purified by flash column chromatography to give 0.031 g of 120E (56% yield). 1H NMR (400 MHz, CDCl3) δ ppm 1.17 (d, J=6.60 Hz, 3 H) 1.26 (d, J=6.85 Hz, 3 H) 1.49 (d, J=6.60 Hz, 3 H) 3.32 (m, 1 H) 5.67 (q, J=6.68 Hz, 1 H) 7.52 (m, 1 H) 7.74 (m, 2 H) 7.92 (d, J=7.83 Hz, 1 H).",120D | DMF | sodium azide | ethyl acetate | water | sodium sulfate | 120E
US04267267,"Next, to the polymer dispersion of silver behenate maintained at 50° C. while stirring at 500 rpm, was added an acetone solution containing N-bromosuccinimide (0.7 g of N-bromosuccinimide and 50 cc of acetone) at 25° C. over a period of 90 minutes and the reaction system was further stirred for 60 minutes resulting in the preparation of a polymer dispersion of both silver bromide and silver behenate. The average grain size (measured microscopically using transmitted light) of the silver bromide grains was about 0.06μ.",silver behenate | acetone | N-bromosuccinimide | silver bromide | silver behenate
US06440979B1,"3.22 g of sodium cyanate was added to a solution of 5.50 ml of 3-chlorobenzylamine in 40 ml of water and 40 ml of THF followed by dropwise addition of 48.6 ml of 1N HCl. After 3 days, the mixture was evaporated to dryness, the residue extracted with hot THF and the filtrate again evaporated to dryness. The residue was suspended in 180 ml of diethyl ether and the solid collected to give the title compound (7.91 g) as a white solid.",sodium cyanate | 3-chlorobenzylamine | water | THF | HCl | THF | title compound
US07645752B2,"To a stirred solution of 1-bromo-4-nitrobenzene (5.05 g, 25 mmol) and chloromethyl-phenylsulfone (4.76 g, 25 mmol) in dry THF (50 mL) at −65° C. under nitrogen is added 1.0M KOtBu in THF (55 mL, 55 mmol). The deep purple reaction is allowed to warm to 0° C. over 1.5 hours and then treated with glacial acetic acid (4 mL). The reaction is diluted with water (100 mL) and saturated aqueous NaHCO3 (100 mL), and then extracted with CH2Cl2 (2×200 mL). The extracts are dried (MgSO4) and concentrated in vacuo to a light orange solid. Trituration with ethyl acetate and hexanes affords the title compound as a pale yellow solid (6.45 g, 72%). Mp: 143-144° C. MS (ES−): 354 (M−H).",1-bromo-4-nitrobenzene | chloromethyl-phenylsulfone | THF | nitrogen | KOtBu | THF | acetic acid | water | NaHCO3 | CH2Cl2 | MgSO4 | ethyl acetate | hexanes | title compound
US20040024066A1,"(S)—N-[1-Phenyl-2-(5-thieno[2,3-b]pyridylmethanesulfonyl)ethyl]-N-hydroxyformamide—A solution of (S)—N-[2-(5-thieno[2,3-b]pyridylmethanesulfonyl)-1-phenylethyl]-N,O-bis-tert-butoxycarbonyl-hydroxylamine (0.42 g) in dichoromethane (8 ml) was treated with trifluoroacetic acid (3 ml). After 30 min the solution was evaporated and redissolved in formic acid (10 ml) and acetic anhydride (3 ml) was added After a further 1.5 h the solution was again evaporated and redissolved in methanol (10 ml). Potassium carbonate (0.3 g) was then added and after 15 min water was added and the pH adjusted to 7 with hydrochloric acid. Extraction with ethyl acetate and chromatography (silica gel, step gradient: 50-100% ethyl acetate/hexane) gave the title compound as a solid after trituration with ether (90 mg). MS (+ve ion electrospray) 377 (MH+, 55%) and 148(100%); 1H NMR δ(CD3OD), 8.6 (1H, m), 8.3 (2H, m), 7.8 (1H, d, J=6 Hz), 7.4-7.6 (6H, m), 5.6 and 6.1 (1H, 2m), 4.7 (2H, s), and 3.7 and 4.2 (2H, 2 m).","(S)—N-[1-Phenyl-2-(5-thieno[2,3-b]pyridylmethanesulfonyl)ethyl]-N-hydroxyformamide—A | (S)—N-[2-(5-thieno[2,3-b]pyridylmethanesulfonyl)-1-phenylethyl]-N,O-bis-tert-butoxycarbonyl-hydroxylamine | dichoromethane | trifluoroacetic acid | formic acid | acetic anhydride | methanol | Potassium carbonate | water | ethyl acetate | silica gel | ethyl acetate/hexane | title compound | ether"
US05856327,"To 520 ml of a methylene chloride solution of 10.98 g of titanium tetraisopropoxide cooled to -70° C., 12 ml of a methylene chloride solution of 12.07 g of D-(-)-diethyl tartarate was added dropwise, and the resulting mixture was stirred for 20 minutes. Then, 25 ml of a methylene chloride solution of 12.9 g of p-chlorocinnamyl alcohol was added dropwise, and the resulting mixture was stirred for 20 minutes. Then, 42.0 ml of t-butyl hydroperoxide (3.67 mol/l methylene chloride solution) was added dropwise, and the resulting mixture was stirred at 70° C. for 1.5 hours, at -40° C. for 2 hours and at -20° C. for 1.5 hours, and then brought to -10° C. over 1 hour and stirred at the same temperature for 2 hours. After it was cooled again to -20° C., 150 ml of an aqueous solution of 38.5 g of iron sulfate hexahydrate and 15.4 g of citric acid monohydrate was added dropwise over 0.5 hour below 5° C. The mixture was stirred vigorously at 0° C. for 0.5 hour and filtered through celite. The filtrate was allowed to separate, and the aqueous layer was extracted again with methylene chloride. The organic layers were combined and washed with a saturated sodium hydrogen carbonate aqueous solution, water and a saturated saline solution. After the solvent was distilled off, the residue was dissolved in diethyl ether, and sodium sulfate and activated carbon were added, and the mixture was allowed to stand for 0.5 hour. The mixture was filtered through celite, and the ether solution thus obtained was cooled with ice. 172 ml of 1N sodium hydroxide aqueous solution was added, and then, the resulting mixture was stirred vigorously for 1 hour. After it was allowed to separate, the organic layer was washed with water (twice) and with a saturated saline solution, treated with activated carbon and filtered through celite. After the solvent was distilled off, the residue was purified by silica gel chromatography (eluent; methanol/chloroform=1/99) and crystallized from cyclohexane to obtain 6.35 g of the title compound as white crystals of [α]D25 +39.42° (chloroform, c 1.042).",methylene chloride | titanium tetraisopropoxide | methylene chloride | D-(-)-diethyl tartarate | methylene chloride | p-chlorocinnamyl alcohol | t-butyl hydroperoxide | methylene chloride | aqueous solution | iron sulfate hexahydrate | citric acid monohydrate | sodium hydrogen carbonate | water | diethyl ether | ether | sodium sulfate | carbon | ice | sodium hydroxide | water | carbon | silica gel | methanol/chloroform | chloroform | cyclohexane | title compound
