documentId,paragraphText,sorted_compounds
US20150005279A1,"To a solution of 5-bromopyridin-2-ol (4 g, 23 mmol) in THF (200 mL) at about 0° C. was added NaH (0.83 g, 34.7 mmol) in portions. The reaction mixture was stirred at rt for about 15 min followed by addition of iodomethane (9.8 g, 69 mmol). The mixture was stirred overnight at rt. After the completion of the reaction (TLC monitoring), the reaction mixture was cooled to about 0° C., water was added, extracted with EtOAc (100 mL×2). The organic layer was washed with brine, dried with anhydrous Na2SO4, filtered and concentrated under reduced pressure to provide 5-bromo-1-methylpyridin-2-(1H)-one (3 g, 69%): 1H NMR (MeOD) δ 7.87 (s, 1H), 7.58-7.55 (m, 1H), 6.47 (d, J=9.6 Hz, 1H), 3.53 (s, 3H).",5-bromopyridin-2-ol | THF | NaH | iodomethane | water | EtOAc | brine | Na2SO4 | 5-bromo-1-methylpyridin-2-(1H)-one
US20090286790A1,"A solution of 5-nitro-3-(trifluoromethyl)benzoic acid (2.35 g, 10 mmol) and H2SO4 (53 μL, 1 mmol) in methanol (30 mL) is allowed to warm to reflux and stir for 20 hours. The mixture is cooled to room temperature, then the mixture is concentrated under reduced pressure. The obtained residue is neutralized with saturated aq. NaHCO3. The mixture is extracted with CH2Cl2. The combined organic layer is washed with brine, dried over Na2SO4, filtrated, and concentrated under reduced pressure to give 3-nitro-5-trifluoromethyl-benzoic acid methyl ester (2.15 g, 86%), which is used in the next step without further purification.",5-nitro-3-(trifluoromethyl)benzoic acid | H2SO4 | methanol | CH2Cl2 | brine | Na2SO4 | 3-nitro-5-trifluoromethyl-benzoic acid methyl ester
US20120295903A1,"To a solution of crude 10-(2-(benzylamino)ethyl)-7,8-dimethylbenzo[g]-pteridine-2,4(3H,10H)-dione (7.53 mmol) in MeOH (200 mL) is added di-tert-butyl dicarbonate (5.2 g, 23.8 mmol) and Et3N (4 mL). The reaction was concentrated under reduced pressure and purified via silica gel chromatography (ISCO) (100% DCM to 10% MeOH/DCM) over 1 h to obtain desired product (1.85 g, 54%) as a brown solid.","10-(2-(benzylamino)ethyl)-7,8-dimethylbenzo[g]-pteridine-2,4(3H,10H)-dione | MeOH | di-tert-butyl dicarbonate | Et3N | silica gel | DCM | MeOH/DCM | desired product"
US07026335B2,"To a cooled (−78° C.) solution of 4-(R)-methyl-5-(S)-phenyl-oxazolidin-2-one, 31, (600 mg, 3.39 mmol) in anhydrous tetrahydrofuran (20 mL) is added n-butyl lithium (2.5 mL, 1.6M solution in hexanes, 4.07 mmol). The resulting solution is stirred at −78° C. for ninety minutes and then 3-(4-chloro-phenyl)-propionyl chloride (894 mg, 4.41 mmol) is slowly added. The solution is warmed to room temperature for thirty minutes and then the solvents removed under reduced pressure. The crude product is purified over silica (20:80 ethyl acetate:hexanes, Rf˜0.3) to afford 1.07 g (92% yield) of the desired compound as a colorless solid. 1H NMR (CDCl3 300 MHz) δ 0.91 (d, J=6.6 Hz, 3H), 3.01 (t, J=7.8 Hz, 2H), 3.18–3.40 (m, 2H), 4.77 (m, 1H), 5.67 (d, J=7.2 Hz, 1H), 7.18–7.48 (m, 9H). MS (ESI) m/z 344 (M+H+)",4-(R)-methyl-5-(S)-phenyl-oxazolidin-2-one | tetrahydrofuran | n-butyl lithium | 3-(4-chloro-phenyl)-propionyl chloride | crude product | silica | desired compound
US09149475B2,"In a 100 mL round bottom flask to a solution of 2-chloro-5-fluoro-N-(2,2,6,6,-tetramethylpiperidin-4-yl)pyrimidin-4-amine (Compound 15; 0.18 g, 0.63 mmol) in 10 mL iPrOH, 4-cyclopropyl-3-(1H-tetrazol-1-yl)benzeneamine (0.18 g, 0.88 mmol) and TosOH (0.095 g, 0.50 mmol) were added. The reaction mixture was heated at 100° C. for 3 hours. LCMS analysis indicated the complete consumption of the mono-SNAr product and appearance of Compound III-118. The reaction mixture was then cooled to room temperature and volatiles were removed under reduced pressure. The crude reaction mixture was purified by column chromatography using DCM/2 M NH3 in MeOH to get tan solid that was further purified by tituration using DCM/hexanes.","2-chloro-5-fluoro-N-(2,2,6,6,-tetramethylpiperidin-4-yl)pyrimidin-4-amine | Compound 15 | iPrOH | 4-cyclopropyl-3-(1H-tetrazol-1-yl)benzeneamine | TosOH"
US20150072969A1,"Ethyl 2-(3-(4-((2′,6′-dimethyl-4′-((tetrahydrofuran-2-yl)methoxy)-[1,1′-biphenyl]-3-yl)methoxy)phenyl)oxetan-3-yl)acetate (compound of Step 1b of Example 46, 135 mg, 0.254 mM) was dissolved in a mixture of THF (4 ml) and MeOH (1 ml) and aqueous LiOH monohydrate (1018 μl, 1.526 mM) was added to the reaction mixture. The reaction mixture was stirred for 6 h and quenched with saturated NH4Cl. The mixture was extracted with ethyl acetate and the organic layer was washed with brine, dried over Na2SO4 and concentrated to afford the title compound 2-(3-(4-((2′,6′-dimethyl-4′-((tetrahydrofuran-2-yl)methoxy)-[1,1′-biphenyl]-3-yl)methoxy)phenyl)oxetan-3-yl)acetic acid (80 mg) as a white solid. Yield: 62.6%; 1H NMR (DMSO-d6, 300 MHz): δ 12.8 (s, 1H), 7.44-7.40 (m, 2H), 7.21-7.18 (m, 3H), 7.07 (d, J=7.2 Hz, 1H), 6.96 (d, J=8.7 Hz, 2H), 6.69 (s, 2H), 5.14 (s, 2H), 4.74 (s, 4H), 4.15-4.10 (m, 1H), 3.95-3.93 (m, 2H), 3.80-3.67 (m, 2H), 3.50-3.32 (m, 2H), 3.01 (s, 2H), 2.09-2.05 (m, s, 1.91, 7H), 1.80-1.74 (m, 1H); MS: m/z 525 (M+Na).","Ethyl 2-(3-(4-((2′,6′-dimethyl-4′-((tetrahydrofuran-2-yl)methoxy)-[1,1′-biphenyl]-3-yl)methoxy)phenyl)oxetan-3-yl)acetate | compound | THF | MeOH | LiOH monohydrate | NH4Cl | ethyl acetate | brine | Na2SO4 | title compound | 2-(3-(4-((2′,6′-dimethyl-4′-((tetrahydrofuran-2-yl)methoxy)-[1,1′-biphenyl]-3-yl)methoxy)phenyl)oxetan-3-yl)acetic acid"
US06825222B2,"A solution of 2-{4-[2-(2-biphenyl-3-yl-5-methyloxazol-4-yl)ethoxy]-3-butylphenoxy}-2-methylpropionic acid ethyl ester (0.57 mmol) in ethanol (10 mL) was treated with 2.5 N aqueous NaOH (1.1 mL), and heated at 55° C. for 2 h. The reaction was cooled to ambient temperature and concentrated down to near dryness. The residue was then diluted with ethyl acetate (40 mL) and water (20 mL) and acidified to pH=1 with 1N aqueous HCl. The organic layer was washed with brine (20 mL), dried (Na2SO4) and concentrated in vacuo to give 2-{4-[2-(2-biphenyl-4-yl-5-methyloxazol-4-yl)ethoxy]-3-butylphenoxy}-2-methylpropionic acid. 1H NMR (400 MHz, CDCl3) δ 8.2 (d, J=1.5 Hz, 1H), 7.95 (d, J=7.8 Hz, 1H), 7.66-7.63 (m, 3H), 7.52-7.35 (m, 4H), 6.73 (d, J=2.9 Hz, 3H), 4.20 (t, J=6.1 Hz, 2H), 3.02 (t, J=6.1 Hz, 2H), 2.52 (t, J=7.6 Hz, 2H), 2.40 (s, 3H), 1.51-1.42 (m, 8H), 1.29 (quintet, J=7.2 Hz, 2H), 0.86 (t, J=7.1 Hz, 3H); MS (ES) m/e 514 (M+1).",2-{4-[2-(2-biphenyl-3-yl-5-methyloxazol-4-yl)ethoxy]-3-butylphenoxy}-2-methylpropionic acid ethyl ester | ethanol | NaOH | ethyl acetate | water | brine | Na2SO4 | 2-{4-[2-(2-biphenyl-4-yl-5-methyloxazol-4-yl)ethoxy]-3-butylphenoxy}-2-methylpropionic acid
US06548526B2,"A mixture of (4-cyano-3-mercapto-isothiazol-5-yl)-carbamic acid phenyl ester (0.70 g, 2.5 mmol), 2,6-di-tert-butyl-4-methylphenol (BHT) (one crystal) and concentrated sulfuric acid (3 mL) was stirred for 18 hours at room temperature. The mixture was diluted with ice water, extracted 3× with ethyl acetate, and the combined organic layers were dried over Na2SO4, filtered and concentrated in vacuo. The residue was dissolved in 10 mL of ethanol at 0° C. and was treated with 0.096 g (2.5 mmol) of NaBH4. After stirring for 30 minutes, the mixture was acidified with 1 M HCl, extracted into ethyl acetate, dried over Na2SO4, filtered and concentrated in vacuo, affording 0.60 g (81%) of (4-carbamoyl-3-mercapto-isothiazol-5-yl)-carbamic acid phenyl ester as a yellow solid. 1H NMR (400 MHz, acetone-d6) δ 13.0 (s, 1H), 11.0-10.9 (bs, 1H), 10.3 (s, 1H), 7.47 (t, 2H, J=6.8 Hz), 7.37-7.30 (m, 4H) ppm; MS (APCl, m/z): 296 [M+H]−.","(4-cyano-3-mercapto-isothiazol-5-yl)-carbamic acid phenyl ester | 2,6-di-tert-butyl-4-methylphenol | sulfuric acid | ice water | ethyl acetate | Na2SO4 | ethanol | NaBH4 | HCl | ethyl acetate | Na2SO4 | (4-carbamoyl-3-mercapto-isothiazol-5-yl)-carbamic acid phenyl ester"
US09029295B2,"47% ethyl glyoxylate in toluene (polymer type) (467.84 g, 2.15 mol) was dissolved in THF (620 ml), to the solution was slowly added methylhydrazine (103 g, 1.02 eq) under ice-cooled. After the addition was complete, the mixture was stirred at 0° C. for 30 minutes and at room temperature for 16 hours. The reaction solution was concentrated under reduced pressure. The residue was dissolved in toluene (400 ml), and concentrated under reduced pressure. The resulting solid was washed with tert-butyl methyl ether (200 ml), and allowed to stand at 0° C. for 30 minutes. Then, the mixture was filtered, and washed with cooled tert-butyl methyl ether (100 ml) to give 223.91 g of Compound (XVI-1) (yield: 78.8%) as solid.",ethyl glyoxylate | toluene | THF | methylhydrazine | toluene | tert-butyl methyl ether | tert-butyl methyl ether | Compound
US04419524,"24.7 g. of 2,2-dimethyl-3-(2,2-dichlorovinyl)-cyclopropane-1-carboxylic acid ethyl ester (purity: 96%, cis)trans ratio: 40:60), 6.7 g. of a 30% aqueous potassium hydroxide solution and 0.05 g. of polyoxyethylenesorbitane monooleate are stirred at 70° C. for 60 minutes. Stirring is continued with a further 6-g. portion of the potassium hydroxide solution for 60 minutes and with an additional 6-g. portion for 120 minutes. The solution is diluted with 100 ml. of water and 40 ml. fraction is distilled off to remove volatile, non-hydrolyzed substances. To the residual aqueous solution 80 cm3 of hexane is added followed by the addition of 12 g. of a 36% aqueous hydrochloric acid solution at 60° C. with stirring. The reaction mixture is then further manufactured as described in Example 1. 19.8 g. (95%) of 2,2-dimethyl-3-(2,2-dichlorovinyl)cyclopropane-1-carboxylic acid are obtained. Cis/trans ratio: 40:60.","2,2-dimethyl-3-(2,2-dichlorovinyl)-cyclopropane-1-carboxylic acid ethyl ester | potassium hydroxide | monooleate | 6-g | potassium hydroxide | 6-g | water | hexane | hydrochloric acid | 2,2-dimethyl-3-(2,2-dichlorovinyl)cyclopropane-1-carboxylic acid"
