documentId,Paragraph,Compound
US04370343,"To a stirred solution of 0.3 g (0.001 mole) of 2-tetradecylthioglycidic acid in 10 ml of anhydrous tetrahydrofuran (THF) at 0° C. (ice water bath) is added 1.01 g (0.001 mole) of triethylamine in a small amount of THF. The mixture is stirred at 0° C. for about 30 minutes. To the thus-formed triethylammonium 2-tetradecylthioglycidate is added 0.108 g (0.001 mole) of ethyl chloroformate in a small amount of THF and the mixture is stirred at about 0° C. (ice water bath) for about 3 hours to prepare the corresponding mixed anhydride (a ppt. of Et3NHCl is observed). A stoichiometric excess of ethylamine in THF is then added and the mixture stirred at room temperature for 16 hours. The THF solvent is concentrated to approximately 1/4 volume, water is added and the mixture extracted with ether. After drying the ether extract (Na2SO4), the solvent is removed in vacuo giving the desired product, N-ethyl-2-tetradecylthioglycidamide, in good yield.",2-tetradecylthioglycidic acid | tetrahydrofuran | THF | ice water | water | triethylamine | THF | triethylammonium 2-tetradecylthioglycidate | ethyl chloroformate | THF | ice water | anhydride | ethylamine | THF | ether | ether | Na2SO4 | desired product | N-ethyl-2-tetradecylthioglycidamide
US07659279B2,"Glycolic acid (22 mg) and O-(7-azabenzotriazol-1-yl)-N,N,N′,N′-tetramethyluronium hexafluorophosphate (HATU, 110 mg) were added sequentially, each in one portion, to a stirred solution of N-(3-chloro-4-fluorophenyl)-7-ethoxy-5-[(2R)-pyrrolidin-2-ylmethoxy]-quinazolin-4-amine (81 mg) and N,N-diisopropylethylamine (68 μl) in DCM (2.5 ml) at room temperature. The reaction mixture was stirred for 16 hours and then concentrated in vacuo to leave a brown residue. The residue was taken up in a 7:2:1 mixture of DMSO:acetonitrile:water, filtered and then purified by reverse phase HPLC. The fractions containing the required product were combined, basified by the addition of potassium carbonate and then extracted with DCM. The organic layer was dried (MgSO4) and then concentrated in vacuo to give the title compound as a white solid (36 mg, 39%); NMR Spectrum (DMSO-d6 at 373 K) 9.80 (br s, 1H), 8.40 (s, 1H), 8.15 (m, 1H), 7.65 (m, 1H), 7.33 (m, 1H), 6.80 (m, 2H), 4.60 (m, 1H), 4.50 (m, 1H), 4.30-4.10 (m, 4H), 4.0 (m, 2H), 3.50-3.40 (m, 2H), 2.10-1.85 (m, 4H), 1.40 (t, 3H); Mass spectrum MH+ 475.","Glycolic acid | O-(7-azabenzotriazol-1-yl)-N,N,N′,N′-tetramethyluronium hexafluorophosphate | N-(3-chloro-4-fluorophenyl)-7-ethoxy-5-[(2R)-pyrrolidin-2-ylmethoxy]-quinazolin-4-amine | N,N-diisopropylethylamine | DCM | DMSO | acetonitrile | water | required product | potassium carbonate | DCM | MgSO4 | title compound"
US07947728B1,"[6-(4′,5′-Difluoro-2′-methoxy-biphenyl-4-yloxymethyl)-indazol-1-yl]-acetic acid ethyl ester (0.095 g, 0.204 mmol) and lithium hydroxide hydrate (10 mg, 0.245 mmol) in 5 mL THF/1 mL H2O was stirred at RT for 6 hrs. The reaction was distributed between EtOAc and H2O. The water layer was made acidic to pH 3 with 1N HCl and the organic layer was separated and concentrated in vacuo. The crude product was purified by trituration with Et2O to yield [6-(4′,5′-difluoro-2′-methoxy-biphenyl-4-yloxymethyl)-indazol-1-yl]-acetic acid as a white solid. LC-MS (ES) calculated for C23H18F2N2O4, 424.41; found m/z 425 [M+H]+.","[6-(4′,5′-Difluoro-2′-methoxy-biphenyl-4-yloxymethyl)-indazol-1-yl]-acetic acid ethyl ester | lithium hydroxide hydrate | THF | H2O | EtOAc | water | HCl | crude product | Et2O | [6-(4′,5′-difluoro-2′-methoxy-biphenyl-4-yloxymethyl)-indazol-1-yl]-acetic acid"
US20090275567A1,"4-(2-Methyl-3-propan-2-yl-imidazol-4-yl)-N-(4-piperidinyl)pyrimidin-2-amine (Example 2, 70 mg, 0.23 mmol), 2-bromoethylbenzene (65 mg, 0.35 mmol) and TEA (0.097 ml, 0.7 mmol) in DMF (2 ml) were heated at 50° C. for 65 hrs. The temperature was increased to 90° C. for 2 hrs then the solvents were evaporated. The resultant material was dissolved in DCM and chromatographed on silica eluting with a shallow gradient of 0-10% MeOH/DCM. Fractions containing product were combined and evaporated to a gum, ether was added, re-evaporated and dried under vacuum, to give the title compound as a white solid (33 mg, 35%). NMR (400.132 MHz, CDCl3) 1.59 (m, 8H), 2.08 (m, 2H), 2.20 (m, 2H), 2.57 (s, 3H), 2.62 (m, 2H), 2.82 (m, 2H), 2.97 (m, 2H), 3.86 (m, 1H), 4.99 (m, 1H), 5.63 (m, 1H), 6.72 (d, 1H), 7.21 (m, 3H), 7.29 (m, 3H), 8.20 (d, 1H); MH+ 405.",4-(2-Methyl-3-propan-2-yl-imidazol-4-yl)-N-(4-piperidinyl)pyrimidin-2-amine | 2-bromoethylbenzene | TEA | DMF | resultant material | DCM | silica | MeOH/DCM | ether | title compound
US08957080B2,"To a sealed tube was added 3-[(2S)-2-[[4-amino-3-(2-fluoro-4-phenoxy-phenyl)pyrazolo[3,4-d]pyrimidin-1-yl]methyl]pyrrolidin-1-yl]-3-oxo-propanenitrile (900 mg, 1.91 mmol), ethanol (12 mL), piperidine (0.23 mL, 2.29 mmol) and 2-methyl-2-morpholino-propanal (0.49 mL, 2.86 mmol). The tube was sealed and heated to 105° C. for 24 hrs. The mixture was then cooled, concentrated and then dissolved in ethyl acetate (100 mL) and washed with 5% citric acid (100 ml) and then brine. The organic layer was dried (MgSO4), filtered and concentrated. The crude material was purified by Isolera (column size 100 g. Solvent system 4%-8% MeOH/EtOAc) to obtain 245 mg (21% yield) of the title compound. MS (pos. ion) m/z: 611 (M+1).","3-[(2S)-2-[[4-amino-3-(2-fluoro-4-phenoxy-phenyl)pyrazolo[3,4-d]pyrimidin-1-yl]methyl]pyrrolidin-1-yl]-3-oxo-propanenitrile | ethanol | piperidine | 2-methyl-2-morpholino-propanal | ethyl acetate | citric acid | MgSO4 | crude material | MeOH/EtOAc | title compound"
US09126945B2,"55.0 g (296 mmol) of methyl 2-chloro-5-aminobenzoate and 49.1 g (356 mmol) of potassium carbonate are suspended in 500 ml of acetonitrile p.a. 22.1 ml (356 mmol) of methyl iodide are added dropwise to the reaction mixture. The suspension is then boiled under reflux for 3 hours. After cooling, the reaction mixture is filtered. The filtrate is diluted with water. The aqueous phase is extracted twice with ethyl acetate. The combined organic phases are dried over sodium sulphate and filtered. The solvent is removed under reduced pressure on a rotary evaporator. The crude product is purified by column chromatography. This gives 30.0 g (51%) of methyl 2-chloro-5-(methylamino)benzoate.",methyl 2-chloro-5-aminobenzoate | potassium carbonate | acetonitrile | methyl iodide | water | ethyl acetate | sodium sulphate | crude product
US04806555,"A mixture of 35.1 g. (0.15 mole) of 1-(o-chlorophenoxy)-2-hydroxybutyl chloride, 32.6 g. (0.2 mole) of N-phenylpiperazine and 400 ml. of isopropanol was refluxed for 48 hr. The reaction mixture was allowed to stand in a refrigerator overnight and filtered. The filtrate was treated with ethereal hydrogen chloride and the salt precipitated by the addition of ether. The white crystalline solid which formed was dissolved in 0.1 mole of hydrochloric acid and then neutralized with sodium hydroxide producing a crystalline precipitate. This was recrystallized with isopropanol yielding 36 g of the free base of the product which melted at 100°-101.5° C.",1-(o-chlorophenoxy)-2-hydroxybutyl chloride | N-phenylpiperazine | isopropanol | hydrogen chloride | ether | hydrochloric acid | sodium hydroxide | isopropanol
US08114888B2,"A mixture of 4-Nitro-2,6-lutidine 1-oxide (21, 5.1 g, 30 mmol), palladized charcoal (10% Pd, 1 g) and acetic acid (2 ml) in methanol (200 ml) is hydrogenated under pressure (40 psi) over 10 hours using a hydrogenation apparatus. The reaction is followed with LC-MS. After filtration, the filtrate is concentrated. The remaining oil is further dried by lyophilization, yielding 4.5 g of 4-amino-2,6-lutidine (22) containing approximately 15% acetic acid. 1H NMR (300 MHz, CDCl3) δ 2.3 (s, 6H), 7.2 (s, 2H). MS, m/z 123 (M+1), 243 (2M−1).","4-Nitro-2,6-lutidine 1-oxide | charcoal | acetic acid | methanol | 4-amino-2,6-lutidine"
US08178538B2,The product was obtained starting from 3-((E)-3-Dimethylamino-acryloyl)-1-[3-(piperidine-1-sulfonyl)-phenyl]-1H-pyridazin-4-one (A-26) and 2-fluoro-phenylhydrazine according to the method described for example 91. MS: M=480.1 (M+H)+,3-((E)-3-Dimethylamino-acryloyl)-1-[3-(piperidine-1-sulfonyl)-phenyl]-1H-pyridazin-4-one | 2-fluoro-phenylhydrazine
US07981874B2,"To a solution of methyl 4-({[2-[(tert-butoxycarbonyl)amino]-5-(2-thienyl)phenyl]amino}carbonyl)benzoate (3.20 g, 7.07 mmol) in 1:1:2 H2O:MeOH:THF (80 mL) was added LiOH (1.20 g, 50.1 mmol). The reaction was stirred at room temperature for 18 h, diluted with EtOAc, washed with 2 N HCl, dried (Na2SO4), and evaporated to give the desired product as a red solid. MS: cal'd 461 (MNa+), exp 461 (MNa+).",methyl 4-({[2-[(tert-butoxycarbonyl)amino]-5-(2-thienyl)phenyl]amino}carbonyl)benzoate | H2O | MeOH | THF | LiOH | EtOAc | HCl | Na2SO4 | desired product
